time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes
1618952400,1.20343,1.20437,1.19983,1.20343,0,0,0,0,0,0,0
1619038800,1.20343,1.20697,1.19937,1.20145,0,0,0,0,0,0,0
1619125200,1.20145,1.21001,1.20128,1.20968,0,0,0,0,0,0,0
1619384400,1.2091399999999999,1.21169,1.2061,1.20852,0,0,0,0,0,0,0
1619470800,1.20852,1.20928,1.20566,1.20896,0,0,0,0,0,0,0
1619557200,1.20896,1.21348,1.20562,1.21248,0,0,0,0,0,0,0
1619643600,1.21248,1.215,1.21021,1.21181,0,0,0,0,0,0,0
1619730000,1.21181,1.21266,1.20161,1.20161,0,0,0,0,0,0,0
1619989200,1.20319,1.20762,1.20131,1.20632,0,0,0,0,0,0,0
1620075600,1.20632,1.20637,1.19989,1.20125,0,0,0,0,0,0,0
1620162000,1.20125,1.20267,1.19859,1.20042,0,0,0,0,0,0,0
1620248400,1.20042,1.20717,1.19931,1.20647,0,0,0,0,0,0,0
1620334800,1.20647,1.2171399999999999,1.20527,1.21629,0,0,0,0,0,0,0
1620594000,1.21629,1.21782,1.21275,1.21287,0,0,0,0,0,0,0
1620680400,1.21287,1.21817,1.21231,1.21454,0,0,0,0,0,0,0
1620766800,1.21454,1.21522,1.20656,1.20678,0,0,0,0,0,0,0
1620853200,1.20678,1.21061,1.20513,1.20781,0,0,0,0,0,0,0
1620939600,1.20781,1.21477,1.20707,1.21448,0,0,0,0,0,0,0
1621198800,1.21435,1.21688,1.21261,1.21481,0,0,0,0,0,0,0
1621285200,1.21481,1.2234099999999999,1.21481,1.22217,0,0,0,0,0,0,0
1621371600,1.22217,1.22454,1.21597,1.2169699999999999,0,0,0,0,0,0,0
1621458000,1.2169699999999999,1.22293,1.21686,1.22269,0,0,0,0,0,0,0
1621544400,1.22269,1.22399,1.21607,1.21807,0,0,0,0,0,0,0
1621803600,1.21745,1.223,1.21718,1.22137,0,0,0,0,0,0,0
1621890000,1.22137,1.22664,1.22107,1.22484,0,0,0,0,0,0,0
1621976400,1.22484,1.2262899999999999,1.2181899999999999,1.21921,0,0,0,0,0,0,0
1622062800,1.21921,1.22151,1.21752,1.21937,0,0,0,0,0,0,0
1622149200,1.21937,1.22048,1.21326,1.21915,0,0,0,0,0,0,0
1622408400,1.21994,1.22313,1.21833,1.22237,0,0,0,0,0,0,0
1622494800,1.22237,1.22544,1.22107,1.22128,0,0,0,0,0,0,0
1622581200,1.22128,1.22265,1.2164,1.2209,0,0,0,0,0,0,0
1622667600,1.2209,1.22142,1.21181,1.21265,0,0,0,0,0,0,0
1622754000,1.21265,1.21858,1.21039,1.21664,0,0,0,0,0,0,0
1623013200,1.21605,1.22018,1.21449,1.21893,0,0,0,0,0,0,0
1623099600,1.21893,1.21942,1.21642,1.21729,0,0,0,0,0,0,0
1623186000,1.21729,1.2218,1.21711,1.21779,0,0,0,0,0,0,0
1623272400,1.21779,1.21947,1.21432,1.21672,0,0,0,0,0,0,0
1623358800,1.21672,1.2193,1.20926,1.2108,0,0,0,0,0,0,0
1623618000,1.2108,1.21305,1.20941,1.21189,0,0,0,0,0,0,0
1623704400,1.21189,1.21473,1.21012,1.21259,0,0,0,0,0,0,0
1623790800,1.21259,1.21348,1.19924,1.19945,0,0,0,0,0,0,0
1623877200,1.19945,1.20064,1.18916,1.19052,0,0,0,0,0,0,0
1623963600,1.19052,1.19249,1.18471,1.18624,0,0,0,0,0,0,0
1624222800,1.18559,1.19214,1.18476,1.19164,0,0,0,0,0,0,0
1624309200,1.19164,1.19527,1.1881,1.19368,0,0,0,0,0,0,0
1624395600,1.19368,1.19701,1.19114,1.19257,0,0,0,0,0,0,0
1624482000,1.19257,1.19563,1.19177,1.19313,0,0,0,0,0,0,0
1624568400,1.19313,1.19753,1.19263,1.19351,0,0,0,0,0,0,0
1624827600,1.19324,1.19445,1.19023,1.19218,0,0,0,0,0,0,0
1624914000,1.19218,1.19297,1.18776,1.18949,0,0,0,0,0,0,0
1625000400,1.18949,1.1909,1.1844999999999999,1.18561,0,0,0,0,0,0,0
1625086800,1.18561,1.18842,1.18373,1.18483,0,0,0,0,0,0,0
1625173200,1.18483,1.18742,1.1807,1.1864,0,0,0,0,0,0,0
1625432400,1.18658,1.18805,1.18513,1.18593,0,0,0,0,0,0,0
1625518800,1.18593,1.18952,1.1806699999999999,1.18234,0,0,0,0,0,0,0
1625605200,1.18234,1.18364,1.17813,1.179,0,0,0,0,0,0,0
1625691600,1.179,1.18678,1.17834,1.1842,0,0,0,0,0,0,0
1625778000,1.1842,1.18812,1.1824999999999999,1.1877,0,0,0,0,0,0,0
1626037200,1.18698,1.18802,1.18361,1.18592,0,0,0,0,0,0,0
1626123600,1.18592,1.18751,1.17721,1.1776,0,0,0,0,0,0,0
1626210000,1.1776,1.18388,1.17719,1.18346,0,0,0,0,0,0,0
1626296400,1.18346,1.18507,1.17961,1.18106,0,0,0,0,0,0,0
1626382800,1.18106,1.18224,1.17922,1.18011,0,0,0,0,0,0,0
1626642000,1.18071,1.18245,1.17636,1.17969,0,0,0,0,0,0,0
1626728400,1.17969,1.18024,1.17556,1.17765,0,0,0,0,0,0,0
1626814800,1.17765,1.18048,1.17517,1.17903,0,0,0,0,0,0,0
1626901200,1.17903,1.18305,1.17573,1.17704,0,0,0,0,0,0,0
1626987600,1.17704,1.17864,1.17544,1.17671,0,0,0,0,0,0,0
1627246800,1.17715,1.18173,1.17634,1.18021,0,0,0,0,0,0,0
1627333200,1.18021,1.18412,1.177,1.18163,0,0,0,0,0,0,0
1627419600,1.18163,1.18496,1.1772,1.18427,0,0,0,0,0,0,0
1627506000,1.18427,1.18928,1.18388,1.18847,0,0,0,0,0,0,0
1627592400,1.18847,1.19087,1.18515,1.18673,0,0,0,0,0,0,0
1627851600,1.18673,1.1897,1.1859,1.18665,0,0,0,0,0,0,0
1627938000,1.18665,1.18934,1.18535,1.1863299999999999,0,0,0,0,0,0,0
